feature_name,Count
pi_ratings,9.0
tradition_pointsdiff_general,7.0
tradition_winner_general,7.0
tradition_winner_match,6.0
Tournament_Play,6.0
Current_form_Play,6.0
history_FIC,6.0
Current_form_EFG_received_sd,5.0
pagerank,5.0
Current_form_elo,5.0
Current_form_pointsdiff,5.0
Current_form_FIC_received_sd,5.0
tradition_winner_last_match,5.0
history_Points,5.0
history_pointsdiff,5.0
Current_form_Ortg,5.0
history_Game_Score,5.0
Current_form_FIC,5.0
history_Ediff_sd,5.0
tradition_pointsdiff_match,5.0
Current_form_Drtg_sd,4.0
history_TS_received_sd,4.0
Tournament_Play_sd,4.0
history_Drtg,4.0
Current_form_FIC_received,4.0
history_TS,4.0
tradition_pointsdiff_last_match,4.0
Current_form_Points,4.0
history_pointsdiff_sd,4.0
Current_form_Performance_Index_received,4.0
history_winner,4.0
history_TS_sd,3.0
Current_form_TS_received_sd,3.0
history_Ediff,3.0
tradition_Ediff_match,3.0
history_EFG,3.0
tradition_Ediff_general,3.0
history_Ortg,3.0
Tournament_home_winner,3.0
Current_form_EDiff,3.0
history_Play,3.0
Current_form_TS_sd,3.0
Tournament_EDiff_sd,3.0
history_Points_received_sd,3.0
Tournament_Drtg_sd,3.0
Current_form_winner,3.0
Current_form_Play_sd,3.0
history_TS_received,3.0
history_Play_received_sd,2.0
history_Points_received,2.0
history_Ortg_sd,2.0
tradition_Ediff_between_last_match,2.0
history_Points_sd,2.0
history_Game_Score_sd,2.0
history_FIC_sd,2.0
history_FIC_received_sd,2.0
history_Play_received,2.0
Tournament_TS_sd,2.0
history_FIC_received,2.0
Tournament_Game_Score_sd,2.0
Current_form_Points_sd,2.0
Current_form_Play_received_sd,2.0
history_EFG_sd,2.0
Regular Season,2.0
Tournament_EFG,2.0
Tournament_FIC,2.0
Current_form_Points_received,2.0
Current_form_Ortg_sd,2.0
Current_form_Game_Score_received,2.0
Current_form_EFG_sd,2.0
Current_form_EDiff_sd,2.0
Current_form_Points_received_sd,2.0
Current_form_Game_Score_sd,1.0
Current_form_Performance_Index,1.0
Current_form_Performance_Index_received_sd,1.0
Current_form_Game_Score_received_sd,1.0
Current_form_Performance_Index_sd,1.0
Current_form_Game_Score,1.0
Current_form_FIC_sd,1.0
Current_form_pointsdiff_sd,1.0
Current_form_pagerank,1.0
Tournament_EDiff,1.0
history_Play_sd,1.0
Tournament_FIC_sd,1.0
Tournament_Game_Score,1.0
history_Performance_Index_received,1.0
Tournament_TS,1.0
elo,1.0
history_EFG_received,1.0
history_Game_Score_received_sd,1.0
history_Game_Score_received,1.0
history_EFG_received_sd,1.0
Current_form_Drtg,1.0
